Year,Brazil,Burundi,India,Russia,Madagascar,Thailand,Vietnam
2015,0.88,,1.7,2.8,,0.76,0.25
2016,2.2,,1.5,2.8,,1.6,0.22
2017,1.7,,1.8,2.6,0.18,1.3,0.2
2018,1,1,1.8,2.6,0.2,1.3,0.2
2019,0.7,0.2,2.9,2.7,4,1.9,1.3
2020,0.6,0.3,2.9,2.7,2.8,3.6,0.7
2021,0.5,0.1,2.9,2.7,3.2,8,0.4
